Date - Time,Prior Lake Elevation,Precipitation b/w readings (office only) in inches of water

12/29/10 10:15,902.74,

1/6/11 10:00,902.78,0.05

1/12/11 7:00,*,0.24

1/13/11 10:20,902.76,

1/14/11 0:00,*,0.20

1/17/11 0:00,*,0.07

1/18/11 7:00,*,0.27

1/19/11 0:00,*,0.03

1/20/11 10:30,902.74,

1/21/11 7:00,*,0.01

1/27/11 10:30,902.72,

1/31/11 7:00,*,0.26

2/3/11 10:30,902.70,

2/7/11 7:00,*,0.06

2/10/11 10:30,902.68,

2/17/11 4:00,902.68,

2/20/11 0:00,*,0.91

2/21/11 0:00,*,0.03

2/22/11 7:00,*,0.94

2/24/11 0:00,902.86,

2/25/11 0:00,*,0.04

3/1/11 0:00,902.82,

3/7/11 0:00,902.78,

3/9/11 0:00,902.68,

3/10/11 0:00,902.66,0.28

3/10/11 0:00,902.66,

3/14/11 0:00,902.54,

3/17/11 8:45,902.42,

3/21/11 11:28,902.59,0.11

3/22/11 18:00,902.81,0.71

3/23/11 13:10,903.02,

3/24/11 9:55,903.16,0.88

3/28/11 10:15,903.65,

3/29/11 9:50,903.72,

3/30/11 9:34,903.78,

4/1/11 9:42,903.86,

4/4/11 12:00,903.95,0.07

4/5/11 11:15,903.95,

4/8/11 14:37,903.90,

4/11/11 10:10,903.86,0.17

4/12/11 7:50,903.83,

4/13/11 7:50,903.80,

4/14/11 7:50,903.74,

4/15/11 7:50,903.70,

4/18/11 7:50,903.58,0.15

4/20/11 7:50,903.49,

4/21/11 9:00,*,0.20

4/22/11 7:55,903.42,0.22

4/25/11 7:50,903.32,0.06

4/26/11 12:05,*,1.30

4/27/11 7:45,903.42,0.28

4/29/11 7:50,903.38,

5/2/11 7:45,*,0.30

5/2/11 15:45,903.36,

5/5/11 13:30,903.28,0.12

5/6/11 7:45,903.26,

5/9/11 7:50,903.24,0.52

5/10/11 13:30,903.20,

5/12/11 7:45,903.18,

5/16/11 7:45,903.10,

5/23/11 7:45,903.10,1.62

5/25/11 7:45,903.09,0.39

5/27/11 7:45,903.02,

5/31/11 7:45,903.02,0.70

6/2/11 8:00,903.00,

6/8/11 9:10,902.90,

6/10/11 7:45,902.84,

6/13/11 12:20,902.77,0.19

6/15/11 13:18,*,1.74

6/16/11 8:30,902.80,0.10

6/20/11 0:00,902.60,0.79

6/21/11 0:00,*,0.85

6/23/11 0:00,903.06,0.40

6/28/11 15:45,903.07,

6/29/11 0:00,*,0.06

6/30/11 9:10,903.08,

7/5/11 12:30,902.93,0.32

7/6/11 7:45,902.90,0.08

7/11/11 7:45,902.84,1.41

7/13/11 7:45,902.76,

7/14/11 9:00,*,0.29

7/15/11 13:45,*,2.69

7/19/11 7:30,903.26,

7/25/11 7:40,903.31,0.38

7/27/11 8:00,903.27,0.59

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

,,

