Date/Time,Event (1/100 INCHES OF RAIN)

10/01/12 08:58:32.0,0.01

10/13/12 14:04:05.5,0.01

10/19/12 10:55:48.0,0.01

10/23/12 03:50:17.0,0.01

10/23/12 03:53:39.5,0.01

10/23/12 03:55:59.5,0.01

10/24/12 15:36:07.0,0.01

10/24/12 16:49:55.0,0.01

10/25/12 04:11:26.0,0.01

10/25/12 04:16:43.0,0.01

10/25/12 04:19:36.0,0.01

10/25/12 04:26:17.0,0.01

10/25/12 04:33:44.5,0.01

10/25/12 04:37:28.0,0.01

10/25/12 04:38:58.5,0.01

10/25/12 04:40:51.5,0.01

10/25/12 04:42:07.0,0.01

10/25/12 04:43:45.5,0.01

10/25/12 04:45:42.5,0.01

10/25/12 04:47:32.5,0.01

10/25/12 04:51:11.0,0.01

10/25/12 05:02:29.0,0.01

10/25/12 05:08:33.0,0.01

10/25/12 05:13:33.5,0.01

10/25/12 05:16:45.5,0.01

10/25/12 05:21:36.0,0.01

10/25/12 05:23:31.0,0.01

10/25/12 05:25:18.0,0.01

10/25/12 05:28:15.5,0.01

10/25/12 05:32:19.5,0.01

10/25/12 05:34:51.0,0.01

10/25/12 05:36:46.0,0.01

10/25/12 05:38:37.5,0.01

10/25/12 05:40:01.0,0.01

10/25/12 05:41:28.5,0.01

10/25/12 05:42:58.5,0.01

10/25/12 05:44:20.0,0.01

10/25/12 05:46:08.0,0.01

10/25/12 05:49:20.5,0.01

10/25/12 05:52:44.5,0.01

10/25/12 05:55:01.0,0.01

10/25/12 05:57:27.5,0.01

10/25/12 05:59:17.5,0.01

10/25/12 06:01:15.5,0.01

10/25/12 06:03:38.0,0.01

10/25/12 06:09:40.5,0.01

10/25/12 07:40:18.5,0.01

